# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

WHM Name,WH Name,WH ID,Address,District,State,Capacity(in MT),Registration Date,Registration Valid Upto,Contact No.,Status,Remarks
Central Warehousing Corporation,Central Warehouse Raninagar,5391643,"WBIIDC COMPLEX, RANINAGAR,PATKATA,",Jalpaiguri,West Bengal,20000,14-Jun-2024,13-Jun-2029,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Kharagpur,5851645,"RAKHAJUNGLE, KHARAGPUR,",Paschim Medinipur,West Bengal,21500,13-Nov-2024,12-Nov-2029,9868924092,Active,
Central Warehousing Corporation,Central Warehouse C.K. Road,4551692,"RANGAMATI, PO - DIGRI, PS - GARBETA,",Paschim Medinipur,West Bengal,31600,25-Jun-2024,24-Jun-2029,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BERHAMPORE,7069743,"BANJETIA, NEAR HATA COLONY,, PO- COSSIMBAZAR",Murshidabad,West Bengal,31600,11-Apr-2025,10-Apr-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Matigara (Siliguri),7063712,"Paribahan Nagar Complex, Matigara, Rear Side of North Bengal Science Centre,PO-Matigara",Darjeeling,West Bengal,5000,03-Apr-2025,02-Apr-2030,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Panihati,7001258,"Kishori Mohan Banerjee Road, P.O-Panihati",North 24 Parganas,West Bengal,34447,09-Dec-2024,08-Dec-2029,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BURDWAN I,6681308,"SADARGHAT ROAD(OPPOSITE PNB), POST- SRIPALLY,, DIST-PURBA BARDHAMAN,",Purba Bardhaman,West Bengal,4742,11-Feb-2023,10-Feb-2028,9868924092,Active,
Central Warehousing Corporation,"Central Warehouse, Malda",6678429,"Central Warehouse, Malda,  NH-34, Narayanpur,  (Near Silk Factory), Malda, PO - NARAYANPUR",Malda,West Bengal,18664,31-Jan-2023,30-Jan-2028,9868924092,Active,
Central Warehousing Corporation,Central Warehouse Coochbehar,7047335,"N.N. Road, Near Army Cantt., P.O.+Dist-Coochbehar",Cooch Behar,West Bengal,7534,24-Mar-2025,23-Mar-2030,9868924092,Active,
JICS Logistic Limited,Jics Logistic Limited C/O Tirupati Balaji Earth Work Pvt LtdWarehouse,7177926,"Sakrail Industrial Park, Jalan Complex, Dhulagori, Dist. Howrah-711302",Howrah,West Bengal,4131,05-Dec-2025,04-Dec-2030,9425953344,Active,
karima green producer company limited,KARIMA GREEN PRODUCER COMPANY LIMITED,7027352,"MAHISHA, DASPALSHA",Birbhum,West Bengal,1388,28-Feb-2025,27-Feb-2030,8918346030,Inactive,INSUFFICIENT INSURANCE
KPS Agro Products,KPS Agro Products,7005127,"Aymapaharpur, Tarakeswar",Hooghly,West Bengal,3500,27-Dec-2024,26-Dec-2029,9144400501,Inactive,INSUFFICIENT INSURANCE
MAHAKAL AGRO STORAGE AND PROCESSING UNIT PRIVATE LIMITED,MAHAKAL AGRO STORAGE AND PROCESSING UNIT PRIVATE LIMITED,4576556,"BHANDARIPARA, JHARMAJHGRAM",Jalpaiguri,West Bengal,14123,29-Jul-2026,29-Jul-2031,8637530662,Active,
Malabika Cold storage pvt ltd,Malabika Cold Storage Private Limited,9291652,"Baikunthapur,  PO shankarpur, Daspur,",Paschim Medinipur,West Bengal,6200,28-Jul-2025,27-Jan-2030,9811166782,Inactive,INSUFFICIENT INSURANCE
MOHAN SADHUKHAN,SHRI DURGA FLOUR MILL (Baganbati),7147051,"Village Baganbati, Post Malia,",Hooghly,West Bengal,794,08-Sep-2025,07-Sep-2030,9831168788,Inactive,INSUFFICIENT INSURANCE
NIRMAL GUCHHAIT,SATYANARAYAN FLOUR INDUSTRIES,6598411,"CHANDUR, TARAKESWAR",Hooghly,West Bengal,2020,29-Jun-2022,28-Jun-2027,9800110126,Inactive,INSUFFICIENT INSURANCE
Nityahari Kundu,Ramnagar Agro Biotech Co.,7010978,"Village Thikara  PO and PS  Ramnagar,",Purba Medinipur,West Bengal,1110,20-Jan-2025,19-Jan-2030,9748777189,Inactive,INSUFFICIENT INSURANCE
Nowrangroy Agro Pvt Ltd,Nowrangroy Agro Pvt Ltd,7079916,"Ranihati-Amta Road, Mallick Bagan",Howrah,West Bengal,3371,28-Apr-2025,27-Apr-2028,9836060999,Inactive,INSUFFICIENT INSURANCE
RANA CHOWDHURY,RANA CHOWDHURY,7164692,"JOGENDRAPUR,",Jalpaiguri,West Bengal,5000,28-Oct-2025,27-Oct-2029,9434001197,Active,
SONAI FOOD MARKETING PRIVATE LIMITED,Sonai Food Marketing Private Limited,6588065,"Plot No. 2585, Khatian No.1748, J.L. No. 044, Mouza- Kansra, G.P.- Jamalpur -II, P.S.- Jamalpur,,",Purba Bardhaman,West Bengal,1196,31-May-2022,30-May-2027,9748778470,Inactive,INSUFFICIENT INSURANCE
STEINWEG-SHARAF INDIA PRIVATE LIMITED,Steinweg Sharaf India Pvt Ltd C/O Jai Matadi Commercial  WH,7156771,"NH 6, Sankrail Industrial Park, Bhagabatipur, SAnkrail, Dhulagarh, Howrah,",Kolkata,West Bengal,3678,26-Sep-2025,25-Sep-2030,9909040127,Active,
STEINWEG-SHARAF INDIA PRIVATE LIMITED,Steinweg Sharaf India Pvt Ltd C/O Alka Business LLP,7121403,"Plot no 1352,1353,1354, Jalan Complex, gate 1, Lane 6,  jangalpur,",Kolkata,West Bengal,3270,31-Jul-2025,30-Jul-2030,9909040127,Active,
SUSAMA KONER,SUSAMA RANI KONER,6611552,"VILL - GOPINATH BATI, PO-GONNA-DARIAPUR, P.S- AUSGRAM, BARDDHAMAN,, VILL - GOPINATH BATI, PO-GONNA-DARIAPUR, P.S- AUSGRAM, BARDDHAMAN,",Purba Bardhaman,West Bengal,6800,08-Aug-2022,07-Aug-2027,9434008966,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC KRISHNANAGAR,6951933,"3, J.N ROY BAHADUR, ROY PARA,",Nadia,West Bengal,7585,26-Jun-2024,25-Jun-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC BANKURA,6930960,"GOBINDA NAGAR,P.O BANKURA,",Bankura,West Bengal,5579,16-May-2024,15-May-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC KALIYAGANJ,6834212,"Dakshin Akhanagar, P.O.-Kalaiganj,",Uttar Dinajpur,West Bengal,9195,11-Jan-2024,10-Jan-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC TARAKESWAR,6790117,"WARD NO. 12, BAJITPUR, P.O. & P.S.- TARAKESWAR,",Hooghly,West Bengal,10800,10-Oct-2023,09-Oct-2028,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC JALPAIGURI,6950588,"D.B.C. ROAD, P.O & Dist. - Jalpaiguri,",Jalpaiguri,West Bengal,4871,26-Jun-2024,25-Jun-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC NEW JALPAIGURI,6956973,"SATELLITE TOWNSHIP, P.O - PHULBARI,",Jalpaiguri,West Bengal,24540,10-Jul-2024,09-Jul-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC BALURGHAT,6949770,"KANPUR MORE, BELTALA PARK,",Dakshin Dinajpur,West Bengal,4950,25-Jun-2024,24-Jun-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC RAIGANJ,6951842,"Purba Ashoke Pally(N.H.-34), P.O.-Raiganj,,",Uttar Dinajpur,West Bengal,7884,26-Jun-2024,25-Jun-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC RANAGHAT,6930150,"Rathtala, P.O - Ranaghat,",Nadia,West Bengal,6085,16-May-2024,15-May-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC ALIPURDUAR,6978662,"CHOWPATHY, P.O - ALIPURDUAR,",Jalpaiguri,West Bengal,5716,23-Sep-2024,22-Sep-2029,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC DINHATA,7073349,"BHANGI PART -1, VIA - DINHATA,",Cooch Behar,West Bengal,6652,22-Apr-2025,21-Apr-2030,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,swc malda,7085137,"maldah,",Malda,West Bengal,9491,06-May-2025,05-May-2030,9331217346,Active,
WEST BENGAL STATE WAREHOUSING CORPORATION,SWC GARBETA,6926463,"GANGANI, P.O - GARBETA,",Paschim Medinipur,West Bengal,6002,06-May-2024,05-May-2029,9331217346,Active,
Ajay Singhal,SAWC PEG BAGHPAT,6721260,"OPP GOPICHAND COLLEGE, HARCHANDPUR",Baghpat,Uttar Pradesh,15000,26-May-2023,25-May-2028,6398019162,Inactive,INSUFFICIENT INSURANCE
Ankita Agarwal,Unnati Seeds,7186471,"Village Barha Puranpur Road,",Pilibhit,Uttar Pradesh,1445,30-Dec-2025,29-Dec-2030,8958974000,Active,
Annapurna Warehousing,Annapurna Warehousing,7133911,"village Pagar Post Hardi Gulalpur, Lalganj",Mirzapur,Uttar Pradesh,50000,20-Aug-2025,19-Aug-2030,9792543888,Inactive,INSUFFICIENT INSURANCE
ANSHU SINGHAL,GYAN SQUARES WAREHOUSE,7066772,"KHASRA NO-465,469 Village-Arnia Mozpur,Tehsil- Khurja,",Bulandshahr,Uttar Pradesh,11368,07-Apr-2025,06-Apr-2030,9997917178,Active,
ASHOK TAYAL,Ashok kumar tayal,7092695,"gata no 519 gorha,",Kasganj,Uttar Pradesh,6253,21-May-2025,20-May-2030,9837302377,Active,
BABA LODHESWAR WAREHOUSE PVT LTD,BABA LODHEHSHWAR WAREHOUSE PRIVATE LIMITED,7184492,"VILL- CHANDRA SIHALI, POST- SURATGANJ, DISTRICT- BARABANKI",Bara Banki,Uttar Pradesh,1500,30-Dec-2025,29-Dec-2030,9670060312,Active,
Bahuudheshiya prathmik gramin sahkari samiti Manda,manda sadhan sehkari samiti,6978936,"manda khas,",Prayagraj,Uttar Pradesh,100,23-Sep-2024,22-Sep-2029,8726754621,Inactive,INSUFFICIENT INSURANCE
Central Warehousing Corporation,CENTRAL WAREHOUSE BIJNORE,4451662,"RASULPUR PIRTHI, NAZIBABAD ROAD BIJNORE",Bijnor,Uttar Pradesh,26838,13-Jan-2026,06-Apr-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE MAUNATH BHANJAN,3231640,"UPSIDC COMPLEX, TAJOPUR MAUNATH",Mau,Uttar Pradesh,14980,30-Dec-2025,06-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BANDA,4563738,"CENTRAL WAREHOUSE BANDA, NEAR NAWAB TANK, NARAINI ROAD, POST-BADOKHAR KHURD, BANDA DISTRICT BANDA, PIN 210001",Banda,Uttar Pradesh,9606,15-Apr-2026,15-Apr-2031,9868924092,Active,
Central Warehousing Corporation,CW SAHARANPUR-I,6786065,"JANTA ROAD, SAHARANPUR",Saharanpur,Uttar Pradesh,26983,26-Sep-2023,25-Dec-2027,9868924092,Active,
Central Warehousing Corporation,CW Chandausi-I,4530024,"Central Warehouse, Chandausi",Moradabad,Uttar Pradesh,16140,31-Oct-2023,30-Apr-2028,9868924092,Active,
Central Warehousing Corporation,CW LUCKNOW-I,6873186,"MOHAN ROAD, NEAR BAWALI CHOWKI",Lucknow,Uttar Pradesh,26400,29-Feb-2024,28-Feb-2029,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE GOLA GOKARNATH,5131640,"ALIGANJ ROAD GOLA, KHEERI",Kheri,Uttar Pradesh,15680,05-Jan-2026,10-May-2031,9868924092,Active,
Central Warehousing Corporation,CW CHIRGAON,6830889,"KRISHI UTPADAN MANDI, CHIRGAON",Jhansi,Uttar Pradesh,16660,02-Jan-2024,01-Jan-2029,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE FAIZABAD,3071647,"NAVIN MANDI RAEBARELI ROAD, FAIZABAD",Ayodhya,Uttar Pradesh,8910,30-Dec-2025,03-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE ROBERTSGANJ,3191659,"PIPRI ROAD, ROBERTSGANJ",Sonbhadra,Uttar Pradesh,6860,16-Jan-2026,06-Mar-2031,9868924092,Active,
Central Warehousing Corporation,"Central Warehouse, SURAJPUR",6626048,"2/3, Site-B, UPSIDC indl area, Surajpur, Gr Noida",Gautam Buddha Nagar,Uttar Pradesh,23072,31-Aug-2022,30-Aug-2027,9868924092,Active,
Central Warehousing Corporation,CW JAHANGIRABAD-I,4490035,"Bahipur Doraha, Jahangiranbad",Bulandshahr,Uttar Pradesh,10000,10-Oct-2023,09-Apr-2028,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE SHAHJAHANPUR,3571657,"KRISHI UTPADAN MANDI, ROZA SHAHJAHANPUR",Shahjahanpur,Uttar Pradesh,45700,06-Jan-2026,15-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE NAINI,3371640,"PLOT NO D1, UPSIDC, INDUSTRIAL AREA PO TSL MIRZAPUR ROAD NAINI",Prayagraj,Uttar Pradesh,25600,16-Mar-2026,16-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BHADOHI,2851671,"VILL ISMAILA PO UCHHETA, BHADOHI",Bhadohi,Uttar Pradesh,21318,16-Mar-2026,16-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE DUMARIAGANJ,2851661,"NEAR BAIDOLA CHAURAHA, DUMARIAGANJ",Siddharthnagar,Uttar Pradesh,10000,06-Jan-2026,24-Feb-2031,9868924092,Active,
Central Warehousing Corporation,CW BALLIA,4470036,"Tikhampur, Ballia",Ballia,Uttar Pradesh,40250,30-Sep-2023,29-Mar-2028,9868924092,Active,
Central Warehousing Corporation,CENTRALL WAREHOUSE SHAHGANJ,4151652,"NEAR RAILWAY CROSSING, SUGAR MILL SHAHGANJ",Jaunpur,Uttar Pradesh,53400,30-Dec-2025,29-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BASTI,5011645,"PLASTIC COMPLEX, PO PURANI BASTI DIST BASTI",Basti,Uttar Pradesh,35640,12-Jan-2026,01-May-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE MUZAFFARNAGAR BD,4051646,"BAMANHERI BASE DEPOT, PO RAMPUR",Muzaffarnagar,Uttar Pradesh,121600,16-Jan-2026,28-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE HARDOI,2931676,"132 KV POWER STATION, LUCKNOW ROAD HARDOI",Hardoi,Uttar Pradesh,43200,30-Dec-2025,24-Feb-2031,9868924092,Active,
Central Warehousing Corporation,CW GORAKHPUR,4450020,"Near Nakha Jungle Rly. Station, Fertilizer Factory",Gorakhpur,Uttar Pradesh,29700,25-Sep-2023,24-Mar-2028,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE CHANDAUSI II,2891641,"NAVIN MANDI, CHANDAUSI",Moradabad,Uttar Pradesh,10522,16-Mar-2026,16-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CW BAHRAICH,6767255,"P.O. KALPIPARA, BAHRAICH",Bahraich,Uttar Pradesh,12463,31-Jul-2023,30-Jul-2028,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE ETAWAH,3451643,"NEW KRISHI UTPADAN MANDI SAMITI, BHARTHANA ROAD",Etawah,Uttar Pradesh,23860,30-Dec-2025,10-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CW JHANSI,6787956,"CENTRAL WAREHOUSE, SHIVPURI ROAD, NANDANPURA",Jhansi,Uttar Pradesh,15241,30-Sep-2023,29-Mar-2028,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE RAMPUR,3531649,"PB NO 39 AGAPUR, RAMPUR",Rampur,Uttar Pradesh,24400,08-Jan-2026,14-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CW JAHANGIRABAD-II,6802532,"NAVIN MANDI, JAHANGIRABAD",Bulandshahr,Uttar Pradesh,15000,14-Nov-2023,13-Nov-2028,9868924092,Active,
Central Warehousing Corporation,CW SHAMLI,6807572,"NEW MANDI, BHOSWAL ROAD",Muzaffarnagar,Uttar Pradesh,5386,29-Nov-2023,28-Nov-2028,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE SAHARANPUR BD,3471644,"PILAKHANI, SAHARANPUR",Saharanpur,Uttar Pradesh,53750,06-Jan-2026,10-Mar-2031,9868924092,Active,
Central Warehousing Corporation,CENTRAL WAREHOUSE BISALPUR,2931653,"NEAR RAILWAY STATION, BISALPUR",Pilibhit,Uttar Pradesh,10584,30-Dec-2025,24-Feb-2031,9868924092,Active,
Central Warehousing Corporation,CW MUZAFFARNAGAR-I,6787683,"CENTRAL WAREHOUSE, KUKRA ROAD",Muzaffarnagar,Uttar Pradesh,33344,30-Sep-2023,29-Mar-2028,9868924092,Active,
Chandausi warehousing Corporation,Chandausi Warehousing Corporation,6653679,"Vill. Bhulawai,Moradabad Road,",Moradabad,Uttar Pradesh,9463,28-Nov-2022,27-Nov-2027,9837032215,Inactive,INSUFFICIENT INSURANCE
CHANDRA SINGH,C.L. warehouse,6713168,"Katkakhanpur, Akbarpur Road, Sultanpur",Sultanpur,Uttar Pradesh,5000,28-Apr-2023,27-Apr-2028,7007555555,Inactive,INSUFFICIENT INSURANCE
Divine Hospitality Associates,Divine Hospitality Associates,4571056,"Village - Mannmajra, Tehsil - Kairana",Shamli,Uttar Pradesh,20000,09-Jun-2026,09-Jun-2031,9005656789,Active,
DIVYANSH AGARWAL,DIVYANSH AGARWAL WAREHOUSE,7125818,"KHUTAR ROAD,VILLAGE MADNAPUR,",Shahjahanpur,Uttar Pradesh,12216,08-Aug-2025,07-Aug-2030,9415302688,Inactive,INSUFFICIENT INSURANCE
DR OM KUMAR VARSHNEY WAREHOUSE,DR. OM KUMAR VARSHNEY WAREHOUSE,7037617,"KHASRA NO-1979, 1980 JAHANGIRABAD, BULANDSHAHR,",Bulandshahr,Uttar Pradesh,8215,12-Mar-2025,11-Mar-2030,9719203203,Inactive,INSUFFICIENT INSURANCE
Gaurav Verma,Gaurav Verma PEG Gilaula,7141831,"Kot Mubaraqpur, Gilaula",Shrawasti,Uttar Pradesh,5000,01-Sep-2025,31-Aug-2030,9452772283,Inactive,INSUFFICIENT INSURANCE
Harsh Vardhan,SD Industries,7000623,"S D Industries 221 Chak Bhitara,Sitapur Road,",Shahjahanpur,Uttar Pradesh,2626,06-Dec-2024,05-Dec-2029,9936214414,Inactive,INSUFFICIENT INSURANCE
HFM Logiware Private Limited,HFM Logiware Pvt Ltd,7169824,"Shahjahanpur Road, Opp Parag Dairy, Lucknow",Sitapur,Uttar Pradesh,6358,13-Nov-2025,12-May-2029,9559076830,Active,
IMAGINE ENTERPRISES,IMAGINE ENTERPRISES phase -2,6674469,"VILL -AZADPUR, POST-JIJAULI NEAR INHAUNA",Rae Bareli,Uttar Pradesh,17500,17-Jan-2023,16-Jan-2028,7408454548,Active,
IMAGINE ENTERPRISES,IMAGINE ENTERPRISES PHASE-1,6669873,"VILL- Jijauli, POST-JIJAULI NEAR INHAUNA",Rae Bareli,Uttar Pradesh,8340,03-Jan-2023,02-Jan-2028,7408454548,Active,
J U B AGRO FOOD PRIVATE LIMITED,J U B AGRO FOODS PVT LTD,7108269,"GATE NO 527, DUTT NAGAR BISEN, GONDA, UTTAR PRADESH",Gonda,Uttar Pradesh,4051,30-Jun-2025,29-Jun-2030,9919622222,Inactive,INSUFFICIENT INSURANCE
JAWAHAR YADAV,Jawahar Lal Yadav,7011240,"Hariharpur, Sadar",Sultanpur,Uttar Pradesh,5000,21-Jan-2025,20-Jul-2029,9450051235,Inactive,INSUFFICIENT INSURANCE
kabita singh,M/S KAVITA SINGH WAREHOUSE,6708572,"VILL-Rajapur kharhar, varanasi road",Pratapgarh,Uttar Pradesh,5000,13-Apr-2023,12-Apr-2028,9415627707,Inactive,INSUFFICIENT INSURANCE
KAI WAREHOUSING PRIVATE LIMITED,KAI WAREHOUSING PRIVATE LIMITED,7063266,"VILL GOPALPUR TALUKA NAGARIYA, NAGARIYA MOAR",Shahjahanpur,Uttar Pradesh,12008,03-Apr-2025,02-Apr-2030,9837045480,Active,
KAI WAREHOUSING PRIVATE LIMITED,KAI WAREHOUSING PRIVATE LIMITED,8851643,"VILL:- CHHATIYA, MATHURA ROAD, UJJHANI",Budaun,Uttar Pradesh,6348,21-Jul-2025,12-Sep-2030,9837045480,Active,
KAI WAREHOUSING PRIVATE LIMITED,KAI WAREHOUSING PVT LTD,6712624,"UMERCIA, FARIDPUR ROAD",Bareilly,Uttar Pradesh,14865,28-Apr-2023,27-Apr-2028,9837045480,Active,
KAMAL SINGH,M/S KAMAL SINGH,6781298,"purekhusai, mohanganj",Pratapgarh,Uttar Pradesh,5000,13-Sep-2023,12-Sep-2028,9473771124,Inactive,INSUFFICIENT INSURANCE
KARAN SINGH,Nandani Infrastructure,6777064,"Village Aashapur, Post Dubeypur(Antu), Pratapgarh,",Pratapgarh,Uttar Pradesh,40000,29-Aug-2023,28-Aug-2028,6306151682,Inactive,INSUFFICIENT INSURANCE
KETKI SINGH,"P.E.G. LALPUR CHANDRABHAN, UNIT A GONDA",6776348,"VILLAGE LALPUR CHANDRABHAN, POST PATHWALIA",Gonda,Uttar Pradesh,10000,29-Aug-2023,28-Aug-2028,7860882646,Inactive,INSUFFICIENT INSURANCE
KETKI SINGH,"P.E.G. LALPUR CHANDRABHAN, UNIT C GONDA",6727564,"VILLAGE LALPUR CHANDRABHAN, POST PATHWALIA",Gonda,Uttar Pradesh,5000,01-Jun-2023,31-May-2028,7860882646,Inactive,INSUFFICIENT INSURANCE
KETKI SINGH,PEG LALPUR CHANDRABHAN UNIT B GONDA,6727747,"VILLAGE LALPUR CHANDRABHAN, POST PATHWALIA",Gonda,Uttar Pradesh,10000,01-Jun-2023,31-May-2028,7860882646,Inactive,INSUFFICIENT INSURANCE
KIRAN MALIK,KIRAN MALIK,6672661,"MUNDIYA KHURD SWAR ROAD BILASPUR,",Rampur,Uttar Pradesh,7500,16-Jan-2023,15-Jan-2028,9910135255,Inactive,INSUFFICIENT INSURANCE
Kisan Seva Sahkari Samiti ltd.Bhatona,Kisan seva sahkri samiti ltd . Bhatona,6834758,"Bhatona,",Bulandshahr,Uttar Pradesh,100,11-Jan-2024,10-Jan-2029,9719878874,Inactive,INSUFFICIENT INSURANCE
KRASHAK MITRA FARM PRODUCER COMPANY LIMITED,KRASHAK MITRA FARM PRODUCER COMPANY LIMITED,4562574,"EKNOURA ROAD MAUZAMPUR,",Shahjahanpur,Uttar Pradesh,835,31-Mar-2026,31-Mar-2031,8392966666,Active,
KRISHANA YADAV,KRISHANA YADAV,7146871,"VILLAGE- PIPARIYA BANSHA,",Lalitpur,Uttar Pradesh,5200,08-Sep-2025,07-Sep-2030,6386933315,Inactive,INSUFFICIENT INSURANCE
KUSUM AGRAWAL,KUSUM AGRAWAL WAREHOUSE,7149933,"VILLAGE- POORE BAADE RAI ,TEHSIL-TILOI,AMETHI,",Sultanpur,Uttar Pradesh,5006,15-Sep-2025,14-Sep-2030,7235958345,Inactive,INSUFFICIENT INSURANCE
M/s LR Agro Products,LR Agro Products,7101066,"Bithaura Kalan Near SWC Puranpur Road,",Pilibhit,Uttar Pradesh,3012,05-Jun-2025,04-Jun-2030,9456427784,Active,
M/s Satish Warehouing,Satish Warehousing,7187552,"Dadauli, Gilaula,",Shrawasti,Uttar Pradesh,11480,07-Jan-2026,06-Jan-2031,9151652076,Inactive,INSUFFICIENT INSURANCE
M/S SHRI ANANDESHWAR PRESERVATIONS PRIVATE LTD,M/S SHRI ANANDESHWAR PRESERVATIONS PRIVATE LTD,6922058,"M/S SHRI ANANDESHWAR PRESERVATIONS PRIVATE LTD,ARAZI NO-1401,GRAM BARA,AKBARPUR,",Kanpur Dehat,Uttar Pradesh,5019,25-Apr-2024,24-Apr-2029,9839213962,Inactive,INSUFFICIENT INSURANCE
